date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil,endpoint
2024-12-31,JPM,USD,0000019617,2025-02-14,2025-02-14 16:17:07,2024,FY,270789000000,112004000000,158785000000,0,51357000000,4974000000,56331000000,27373000000,83704000000,195708000000,92583000000,193933000000,101350000000,7938000000,83019000000,75081000000,0,75081000000,0,75081000000,16610000000,58471000000,0,0,58471000000,0,56868000000,19.79,19.75,2873900000,2879000000,income-statement
2023-12-31,JPM,USD,0000019617,2024-02-16,2024-02-16 16:20:22,2023,FY,236273000000,90603000000,145670000000,0,46465000000,4591000000,51056000000,33002000000,84058000000,174661000000,89267000000,170588000000,81321000000,7512000000,69124000000,61612000000,0,61612000000,0,61612000000,12060000000,49552000000,0,0,49552000000,0,47760000000,16.25,16.23,2938600000,2943100000,income-statement
2022-12-31,JPM,USD,0000019617,2023-02-21,2023-02-21 16:13:55,2022,FY,153824000000,32432000000,121392000000,0,41636000000,3911000000,45547000000,29679000000,75226000000,107658000000,66710000000,92807000000,26097000000,7051000000,53217000000,46166000000,0,46166000000,0,46166000000,8490000000,37676000000,0,0,37676000000,0,35892000000,12.1,12.09,2965800000,2970000000,income-statement
2021-12-31,JPM,USD,0000019617,2022-02-22,2022-02-22 16:56:31,2021,FY,127238000000,-3667000000,130905000000,0,38567000000,3036000000,41603000000,29740000000,71343000000,67676000000,52311000000,57864000000,5553000000,7932000000,67494000000,59562000000,0,59562000000,0,59562000000,11228000000,48334000000,0,0,48334000000,0,46503000000,15.39,15.36,3021500000,3026600000,income-statement
2025-09-30,V,USD,0001403161,2025-11-06,2025-11-06 16:09:41,2025,FY,40000000000,7855000000,32145000000,0,2685000000,1684000000,4369000000,3782000000,8151000000,16006000000,-589000000,0,589000000,1220000000,26003000000,24783000000,-789000000,23994000000,200000000,24194000000,4136000000,20058000000,0,0,20058000000,0,19853000000,10.22,10.2,1942000000,1966000000,income-statement
2024-09-30,V,USD,0001403161,2024-11-13,2024-11-13 17:14:01,2024,FY,35926000000,7042000000,28884000000,0,2233000000,1560000000,3793000000,1496000000,5289000000,12331000000,-641000000,0,641000000,1034000000,25591000000,24557000000,-962000000,23595000000,321000000,23916000000,4173000000,19743000000,0,0,19743000000,0,19743000000,9.74,9.73,1997000000,2029000000,income-statement
2023-09-30,V,USD,0001403161,2023-11-15,2023-11-15 16:07:14,2023,FY,32653000000,6567000000,26086000000,0,1875000000,1341000000,3216000000,1870000000,5086000000,11653000000,-644000000,0,644000000,943000000,22624000000,21681000000,-681000000,21000000000,37000000,21037000000,3764000000,17273000000,0,0,17273000000,0,17273000000,8.29,8.28,2085000000,2085000000,income-statement
2022-09-30,V,USD,0001403161,2022-11-16,2022-11-16 16:06:43,2022,FY,29310000000,5733000000,23577000000,0,1699000000,1336000000,3035000000,1729000000,4764000000,10497000000,-538000000,0,538000000,861000000,19535000000,18674000000,139000000,18813000000,-677000000,18136000000,3179000000,14957000000,0,0,14957000000,0,14957000000,7.01,7.0,2136000000,2136000000,income-statement
2021-09-30,V,USD,0001403161,2021-11-18,2021-11-18 16:06:50,2021,FY,24105000000,4970000000,19135000000,0,1388000000,1136000000,2524000000,807000000,3331000000,8301000000,-513000000,0,513000000,804000000,17380000000,16576000000,-772000000,15804000000,259000000,16063000000,3752000000,12311000000,0,0,12311000000,0,12311000000,5.63,5.63,2130301000,2188000000,income-statement
2025-08-31,COST,USD,0000909832,2025-10-08,2025-10-07 21:16:06,2025,FY,275235000000,239886000000,35349000000,0,0,0,24966000000,0,24966000000,264852000000,351000000,505000000,154000000,2426000000,13398000000,10972000000,-589000000,10383000000,435000000,10818000000,2719000000,8099000000,0,0,8099000000,0,8099000000,18.24,18.21,443985000,444803000,income-statement
